child	father	mother	population	rDNA45S.cn.child	rDNA45S.cn.father	rDNA45S.cn.mother	rDNA45S.cn_single.child	rDNA45S.cn_single.father	rDNA45S.cn_single.mother	rDNA45S.18S.flat.child	rDNA45S.18S.flat.father	rDNA45S.18S.flat.mother	rDNA5S.cn.child	rDNA5S.cn.father	rDNA5S.cn.mother	HSat1A.mass_Mb.child	HSat1A.mass_Mb.father	HSat1A.mass_Mb.mother	HSat1B.mass_Mb.child	HSat1B.mass_Mb.father	HSat1B.mass_Mb.mother	HSat2.mass_Mb.child	HSat2.mass_Mb.father	HSat2.mass_Mb.mother	HSat3.mass_Mb.child	HSat3.mass_Mb.father	HSat3.mass_Mb.mother	bSat.mass_Mb.child	bSat.mass_Mb.father	bSat.mass_Mb.mother	aSatHOR.mass_Mb.child	aSatHOR.mass_Mb.father	aSatHOR.mass_Mb.mother	ACRO.mass_Mb.child	ACRO.mass_Mb.father	ACRO.mass_Mb.mother	SST1.mass_Mb.child	SST1.mass_Mb.father	SST1.mass_Mb.mother	CER.mass_Mb.child	CER.mass_Mb.father	CER.mass_Mb.mother	SATR.mass_Mb.child	SATR.mass_Mb.father	SATR.mass_Mb.mother	TEL.mass_Mb.child	TEL.mass_Mb.father	TEL.mass_Mb.mother	truth.auto.child	truth.auto.father	truth.auto.mother	DJ.cn.child	DJ.cn.father	DJ.cn.mother	chrM.copies.child	chrM.copies.father	chrM.copies.mother	chrEBV.copies.child	chrEBV.copies.father	chrEBV.copies.mother	depth.child	depth.father	depth.mother	ctrl_dup_frac.child	ctrl_dup_frac.father	ctrl_dup_frac.mother	gc_rel_65.child	gc_rel_65.father	gc_rel_65.mother	insert_median.child	insert_median.father	insert_median.mother
HG00405	HG00403	HG00404	CHS	439.43	411.38	408.98	432.573	407.868	399.293	506.67	485.67	490.61	138.67	204.91	156.01	16.003	16.2904	19.3517	1.1418	19.997	1.101	48.5236	52.3324	48.5569	57.2625	82.2424	52.9991	11.2219	10.9105	11.7573	150.7145	158.1423	167.7119	3.0165	2.819	3.0405	0.5976	0.5494	0.5265	0.8167	0.8154	0.8365	0.2595	0.2565	0.2442	0.5132	0.3549	0.4174	2.0158	2.0045	1.9898	9.54	9.75	9.79	852.2939	1093.8931	697.1998	30.4041	27.9825	20.6851	36.039	36.322	33.883	0.0855	0.1106	0.0918	1.2295	1.3071	1.2736	448.0	433.0	431.0
HG00408	HG00406	HG00407	CHS	666.15	547.62	612.63	646.354	529.985	599.044	736.55	622.97	718.76	166.39	185.12	148.83	22.5522	19.3325	13.9727	1.4291	16.7399	1.3943	63.1527	57.6587	50.4139	49.8541	74.9474	47.9794	11.2275	9.4194	10.2582	162.4807	147.3691	150.1731	2.4883	2.6743	2.9698	0.5083	0.5227	0.5305	0.8175	0.7661	0.8247	0.2532	0.2571	0.2383	0.5355	0.2595	0.6834	1.9827	2.0006	2.0026	9.94	9.5	9.51	652.6661	864.3274	773.1963	49.4601	10.9792	41.0901	37.181	36.594	39.381	0.091	0.0752	0.0968	1.1954	1.2374	1.2879	444.0	447.0	436.0
HG00420	HG00418	HG00419	CHS	636.38	492.35	699.56	623.687	488.802	691.808	736.5	586.64	791.22	151.88	186.8	162.67	14.496	15.3611	14.3965	8.6973	8.6212	1.4939	43.256	35.328	44.3575	72.1663	62.3359	56.5861	7.6306	8.4118	7.7932	152.9609	158.5102	164.9307	3.3421	2.9971	3.0541	0.6899	0.5531	0.6342	0.6618	0.6946	0.7084	0.2334	0.2513	0.2346	0.5771	0.8528	0.7832	2.0017	2.007	1.9863	9.53	10.19	9.69	761.9887	771.3873	1433.1804	44.3919	54.5318	68.1685	36.892	38.26	37.252	0.0888	0.0718	0.0962	1.2653	1.2886	1.2337	441.0	435.0	436.0
HG00423	HG00421	HG00422	CHS	361.92	417.9	423.59	356.992	418.139	428.304	416.82	496.72	481.8	262.62	211.94	151.85	16.6223	22.0715	18.2638	2.018	18.0355	1.7389	41.906	39.9675	55.0769	69.7563	86.162	65.2519	10.4061	11.2832	10.7615	154.8729	164.1159	153.0468	2.935	2.4828	3.5412	0.6391	0.5978	0.5552	0.7565	0.8116	0.7984	0.2347	0.2528	0.2557	0.6328	0.3339	0.2253	2.0111	1.9903	2.0047	9.59	9.8	9.57	828.3382	756.7669	736.9013	68.5654	31.6588	25.93	37.243	38.639	38.654	0.0958	0.0841	0.0676	1.2555	1.2912	1.2204	446.0	427.0	433.0
HG00429	HG00427	HG00428	CHS	484.99	439.44	482.88	477.138	432.711	488.1	554.28	520.62	521.4	160.81	158.64	199.86	14.2387	15.4435	18.1269	12.951	13.9361	1.479	35.2077	32.3228	44.5954	83.0295	84.0144	49.8395	9.0553	8.4268	9.0468	137.6951	148.0972	153.7181	3.3955	3.4987	3.2978	0.5357	0.5929	0.4987	0.7609	0.6902	0.7178	0.2578	0.2591	0.2169	0.3795	0.3513	0.4575	1.9945	1.9912	1.9943	9.68	9.4	9.71	860.6085	893.9845	911.5815	18.6084	19.4427	31.7874	38.069	39.721	35.738	0.0977	0.0772	0.0822	1.2198	1.2903	1.1656	445.0	446.0	432.0
HG00438	HG00436	HG00437	CHS	527.29	485.25	450.95	519.381	478.328	451.627	601.8	570.6	516.67	195.17	180.8	140.06	19.2203	23.067	17.3185	1.5124	19.2743	1.4572	48.8399	55.3415	41.3033	52.1947	90.465	53.1236	10.8834	11.3389	8.6041	145.8561	149.4824	154.4015	3.4321	2.7301	3.264	0.5418	0.6391	0.5318	0.7592	0.8134	0.6907	0.2546	0.2494	0.2217	0.4034	0.5216	0.4186	1.9938	1.9835	2.0064	9.51	9.72	9.38	945.0519	1331.7865	793.3619	33.7554	17.7872	25.8708	37.114	34.273	36.515	0.0935	0.0777	0.1071	1.2329	1.2461	1.2422	449.0	414.0	427.0
HG00444	HG00442	HG00443	CHS	744.59	592.84	558.58	730.313	581.959	540.092	818.54	676.83	651.95	145.52	209.74	131.54	15.3096	13.3803	16.0559	8.9235	8.6663	1.4255	68.0341	44.2377	55.9477	54.5538	51.3288	55.0754	10.0302	9.1335	9.2036	150.6273	139.0655	159.18	3.138	4.4102	2.7103	0.7033	0.6898	0.6531	0.7629	0.7221	0.7247	0.246	0.2568	0.2381	0.4923	0.5333	0.4823	2.0105	2.007	1.9943	9.54	9.39	9.75	773.8084	878.2811	836.447	32.0946	12.5555	17.5613	37.396	38.657	40.112	0.0922	0.0789	0.0978	1.1976	1.2407	1.267	441.0	432.0	424.0
HG00447	HG00445	HG00446	CHS	491.93	507.26	543.48	486.247	509.997	532.901	566.85	560.32	629.07	163.48	155.37	120.13	16.5027	17.8934	15.5613	1.7327	19.6955	1.8757	41.4003	50.9457	33.4451	46.7955	74.1365	48.5814	9.1831	10.7242	8.5077	135.8901	128.6362	140.3993	2.5728	2.6171	3.7498	0.6274	0.5341	0.6514	0.7965	0.8795	0.7227	0.2323	0.2419	0.2376	1.1205	0.4823	0.4874	2.0035	1.9882	1.9966	10.07	9.8	9.5	788.7373	813.9889	711.786	87.1503	84.2781	18.2068	36.645	40.992	37.604	0.0913	0.0729	0.0871	1.2269	1.2074	1.2594	449.0	441.0	441.0
HG00450	HG00448	HG00449	CHS	781.37	577.75	725.43	767.968	565.152	719.686	916.28	642.84	831.34	177.81	152.74	196.31	14.7821	13.9502	17.6312	1.5616	15.4544	1.6058	51.1869	55.2943	46.6321	50.051	72.0146	53.1466	8.4428	8.8747	9.6742	151.2481	140.7926	153.1628	3.5066	3.133	3.029	0.7328	0.4825	0.676	0.7605	0.7338	0.7303	0.2253	0.2348	0.2262	0.4571	0.4212	0.4664	1.9952	2.0114	2.0033	9.5	9.23	9.56	691.2354	796.3236	751.1635	58.8318	13.0083	35.9694	38.641	40.222	35.399	0.0691	0.0759	0.0763	1.2683	1.1713	1.2476	448.0	434.0	448.0
HG00453	HG00451	HG00452	CHS	489.7	401.76	543.28	471.843	400.567	527.06	570.4	422.27	597.59	197.57	186.49	225.95	13.5866	12.9788	16.3248	0.9112	10.412	1.4356	48.4391	38.3169	43.8419	48.8569	56.7626	54.6976	9.472	10.1904	8.5162	132.3506	140.8776	149.2088	3.6813	2.9535	3.7374	0.6077	0.6795	0.548	0.7339	0.7536	0.7151	0.2254	0.2387	0.2114	0.7226	0.3817	0.48	1.9867	1.9929	1.9873	9.23	9.73	9.84	748.4885	934.1842	614.0352	26.3113	25.9752	21.6487	40.081	38.298	35.526	0.0904	0.0902	0.0891	1.2796	1.1351	1.2027	452.0	435.0	431.0
